Column1,Column2,channel_title,username,comment_text,emotion
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@rakeshd6719,ఇంత పెద్ద సినిమా లో కూడా మంచి మెసేజ్ ఇచ్చారు దర్శకుడు జేమ్స్ kemaroon అద్భుతంగా vuntundhi cinema,happiness
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@ChyallappaChyallappa,సూపర్ 💯,happiness
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@PrudhvirajMunipalli,క్వాలిటీ హెడ్ఫోన్ లేదా కాస్ట్లీ బడ్స్ ఉన్న వాళ్ళు అదృష్టవంతులు.. ఈ ట్రైలర్ ఫుల్ డాల్బీ లో వింటే ఆ మజా వర్ణించలేం.. ఒకసారి ఫుల్ వాల్యూమ్ లో BGM విని తర్వాత రిప్లై ఇవ్వండి ఇక్కడ.. ఇంగ్లీష్ ట్రైలర్ లో వింటే వేరే లెవెల్..,neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@vamshimaddala6250,దీనమ్మ AI వచ్చాక ఇది రియల్ ట్రైలర్ అని తెలుసుకోవడానికి 1 నిమిషం టైమ్ పట్టింది,neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@PanakaluGudikandhula,ఇంతకీ Ai రియల్ ఆ,neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@venkatvenki9981,అంత impressive గా లేదు.. 🤷‍♂️,sadness
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@saddamsyedsyed-bq9tk,పైసా వసూల్ మూవీ.,happiness
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@chintalasuresh9141,జై సుధీర్ అన్న ✊🫰✊,happiness
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@ravitejamoroju3113,అవతార్ అనే పదం భారతీయ పదం,neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@karthiksena3328,అద్భుతంగా ఉంది ట్రైలర్ అవతార్ ఫైర్ అండ్ యాష్ 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥👍👍👍👌👌👌🙏,happiness
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@karthiksena3328,నాకు ఎంతో ఇష్టమైన డైరెక్టర్ ఎస్.ఎస్ రాజమౌళి గారు అండ్ జేమ్స్ కెమెరా జేమ్స్ గారు ❤️❤️❤️❤️❤️🙏,neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@0084rajesh,"మహావతార్ నరసింహ"" సినిమా చూసిన తర్వాత నాకు ఇది సినిమాలాగా అనిపించడం లేదు.",sadness
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@vijayvishwa994,నేను చూసా... అవతార్ బ్రో.. సూపర్,happiness
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@KakaMamawd5e.x637g,బొంగులా ఉంది. మా సీశ్వంభరా సినిమా ని దాట మను చూద్దాం....🤘😎,anger
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@CreativeVinay,డిసెంబర్ 20th na Netflix lo చూడొచ్చు లే 😂😂,neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@kljchnd5622,అవతార్ పేరులోనె no 1 ఎపుడైన ✅👍,neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@krishnasunkara1180,ఈ సినిమాని కచ్చితంగా ప్రపంచపు 8వ వింతగా పరిగణంలోకి తీసుకోవాలి❤❤,neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@AgashtyaDharmendra,*☆**#జేమ్స్ÇAMEROƝ**★*,neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@ramaraoyenugula9044,పోతాయి... అన్ని రికార్డులు పోతాయి..,neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@neelamnagaraju2657,ఈ మూవీ కోసం ఎంతమంది ఎదురుచూస్తున్నారు కామెంట్ చేయండి 😍,happiness
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@rising2222,ట్రైలర్ చూడకుండానే లైక్ కొట్టినవాళ్ళు 😊😊,happiness
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@Gullarambabu4478,వీళ్ళు కామెంట్ చేస్తున్నారు. అందరూ ప్రొడ్యూసర్ల,neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@chaituchaitanya8185,ప్రతి ఒక్క సన్నివేశం ఒక అద్భుతం ల ఉంది ఈసారి ఒక అగ్నిగుండం చొచ్చుకు రావడానికి సిద్ధం గా ఉంది..,happiness
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@shivaram425,తాత వస్తాడే ఇరగదిసి పోతాడే records పోటుక పోతాడే...😅😅,neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@raoneforyou-1,అవతార్ మూవీ ఐమాక్స్ లో చూడాలని ఎంతమంది అనుకుంటున్నారు 3D లో సబ్స్క్రైబ్,neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@rKaero5643,మన సుమక్క అలాగే అనిల్ రావిపూడి చెప్పినట్టు సరదాగా చెప్పండి 😂😂 సుడిగాలి సుధీర్ అభిమానాలు ఎంత మంది ఉన్నారు ఇక్కడ 😂😂😂😂,happiness
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@PALEPOGUISRAYELU-d1o,నేను ఇ సినిమా కోసం ఎదురు చూస్తునాను ❤❤❤❤❤అవతార్ 3❤❤❤,neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@prasaddhanavath-hl9fd,అద్భుతమైన గ్రాఫిక్స్,surprise
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@THE_RAMKISHORE,Pubg అప్డేట్ లా season కి ఒకటి అవతార్ వదులుతున్నాడు,neutral
AK_IDBE25-U,Kaantha Movie Telugu Teaser | Dulquer Salmaan | Samuthirakani | Bhagyashri Borse | Rana Daggubati,SureshProductions,@Rudhra7569,రామ్ చరణ్ వాయిస్,neutral
AK_IDBE25-U,Kaantha Movie Telugu Teaser | Dulquer Salmaan | Samuthirakani | Bhagyashri Borse | Rana Daggubati,SureshProductions,@kasapoguvenkatesh1708,Bgm చాలా బాగుంది నాగేశ్వర్ రావులా యాక్టింగ్ చేస్తూ సడన్ గా వేరే క్యారెక్టర్ next లెవల్,happiness
AK_IDBE25-U,Kaantha Movie Telugu Teaser | Dulquer Salmaan | Samuthirakani | Bhagyashri Borse | Rana Daggubati,SureshProductions,@BollapalliParshuram,బాక్గ్రౌండ్ స్కోర్ సూపర్,happiness
AK_IDBE25-U,Kaantha Movie Telugu Teaser | Dulquer Salmaan | Samuthirakani | Bhagyashri Borse | Rana Daggubati,SureshProductions,@political-g8v,ఇద్దరు సినిమా లా ఉందే,neutral
AK_IDBE25-U,Kaantha Movie Telugu Teaser | Dulquer Salmaan | Samuthirakani | Bhagyashri Borse | Rana Daggubati,SureshProductions,@shaikmoulali864,వస్తాడు హిట్ కొడతాడు రిపీటు🙌 వచ్చాడు హిట్ కొట్టడు రిపీటు 🙌 వచ్చాడు హిట్ కొట్టడు రిపీటు 🙌,happiness
AK_IDBE25-U,Kaantha Movie Telugu Teaser | Dulquer Salmaan | Samuthirakani | Bhagyashri Borse | Rana Daggubati,SureshProductions,@SUDHAKARBABU143,నేను భాగ్య పాప స్టోరీ చూసి వచ్చా ❤,neutral
AK_IDBE25-U,Kaantha Movie Telugu Teaser | Dulquer Salmaan | Samuthirakani | Bhagyashri Borse | Rana Daggubati,SureshProductions,@Superr93,పెద్ద స్టార్ హీరో ల సినిమాలు ఇలాగే తీస్తారు... డైరెక్షన్ కూడా ఆ పెద్ద స్టార్ హీరో నే చేసేస్తారు.... 😮😂😂😂,surprise
AK_IDBE25-U,Kaantha Movie Telugu Teaser | Dulquer Salmaan | Samuthirakani | Bhagyashri Borse | Rana Daggubati,SureshProductions,@MATHURTHIAKSHAYA,ఒకప్పుడు కాంతారావు గారు ఇప్పుడు మళ్లీ కాంతారా కాంత మళ్లీ బ్లాక్ బస్టర్ హిట్స్,happiness
AK_IDBE25-U,Kaantha Movie Telugu Teaser | Dulquer Salmaan | Samuthirakani | Bhagyashri Borse | Rana Daggubati,SureshProductions,@MATHURTHIAKSHAYA,నట ప్రపూర్ణ కళా ప్రపూర్ణ ఆంధ్ర ఎంజీఆర్ రణం భూపతి అనగనగా ఒక రాకుమారుడు కళామతల్లి నుదుటి తిలకం కాంతారావు గారు,neutral
AK_IDBE25-U,Kaantha Movie Telugu Teaser | Dulquer Salmaan | Samuthirakani | Bhagyashri Borse | Rana Daggubati,SureshProductions,@vijaych,ఇది కాంతారావు గారి మూవీనా...,neutral
AK_IDBE25-U,Kaantha Movie Telugu Teaser | Dulquer Salmaan | Samuthirakani | Bhagyashri Borse | Rana Daggubati,SureshProductions,@poornamangalagiri2623,"యాక్టర్స్ కి హద్దులు లేవు... కానీ ఒక్క తెలుగు పెద్ద ఆర్టిస్ట్ కూడా లేడు.. ప్రపంచమే తెలుగు సినిమాకు దాసోహం అంటుంటే.. మీరు ఇతర రాష్ట్రాల నటుల, పరభాషా నటులను పెట్టి తెలుగు సినిమాలను, సీరియల్స్ ను తీస్తున్నారు...",neutral
AK_IDBE25-U,Kaantha Movie Telugu Teaser | Dulquer Salmaan | Samuthirakani | Bhagyashri Borse | Rana Daggubati,SureshProductions,@PramodKumar-ut1iv,అన్న మల్ల కొత్త vibe తో వచ్చిండే 👌👌👌👌,happiness
AK_IDBE25-U,Kaantha Movie Telugu Teaser | Dulquer Salmaan | Samuthirakani | Bhagyashri Borse | Rana Daggubati,SureshProductions,@aruchinni8948,"ఎవరు మావ నువ్వు, అసలు స్టోరీ ఎప్పుడు సెలెక్ట్ చేసుకుంటావో, ఏం మూవీస్ చేస్తున్నావో, ఎప్పుడు వస్తావో ఎవ్వడికి తెలీదు, కాని వస్తే మాత్రం అందర్నీ ఆకట్టుకుంటావ్🙏🙏నువ్వు, అడివి శేష్, శ్రీ విష్ణు మీ స్టోరీ సెలక్షన్ ఏ డిఫరెంట్ గా ఉంటాయ్👌👌👌",neutral
CllWVGWhOEs,"WAR 2 Official Trailer | Telugu | Hrithik Roshan, NTR, Kiara Advani, Ayan Mukerji | YRF Spy Universe",YRF,@drbabu2276,E movie Gopichand ki padi ఉంటేనా. wildfire...,happiness
CllWVGWhOEs,"WAR 2 Official Trailer | Telugu | Hrithik Roshan, NTR, Kiara Advani, Ayan Mukerji | YRF Spy Universe",YRF,@MahidharModugu,నాకొద్దు తేడా కనిపిస్తుంది,neutral
CllWVGWhOEs,"WAR 2 Official Trailer | Telugu | Hrithik Roshan, NTR, Kiara Advani, Ayan Mukerji | YRF Spy Universe",YRF,@choudarygkm4718,💖Ace Dancer🇳‌🇹‌🇷‌with Acrobatic Fighter 🇭‌🇷‌🇮‌🇹‌🇭‌🇮‌🇨‌ 𝗪𝗮𝗿 𝟮💖Hit talk vaste Screens సినిగిపోతాయి 💖,neutral
CllWVGWhOEs,"WAR 2 Official Trailer | Telugu | Hrithik Roshan, NTR, Kiara Advani, Ayan Mukerji | YRF Spy Universe",YRF,@sivantr5226,NTR అన్న super ❤🔥🔥,neutral
CllWVGWhOEs,"WAR 2 Official Trailer | Telugu | Hrithik Roshan, NTR, Kiara Advani, Ayan Mukerji | YRF Spy Universe",YRF,@choudarygkm4718,"😄😄😄2015 Temper లోని daya గాడి దండయాత్రను Jr.Ntr మరల పదేళ్లకి War2 లో Hrithik తో కలిసి ప్రపంచానికి Gun తో చూపించబోతున్నాడు... తక్కువగా అంచనా వెయ్యొద్దు...Hit talk వస్తే.... Skeletons second షోలకొచ్చి మనచేత మల్లెపూలు బలవంతంగానైనా పెట్టించుకుని Dance లు చేస్తాయి..😅జాగ్రత్త..🎉😂😂😂from Nellore, AP",neutral
CllWVGWhOEs,"WAR 2 Official Trailer | Telugu | Hrithik Roshan, NTR, Kiara Advani, Ayan Mukerji | YRF Spy Universe",YRF,@madhuyarasi9436,బొక్కల వుంది cooli,neutral
cHd-vTYZ87A,GHAATI Trailer (Telugu) | Anushka Shetty | Vikram Prabhu | Krish Jagarlamudi | UV Creations,UV Creations,@d6fydxyooyy315,ఐ లవ్ యు అనుష్క❤,neutral
cHd-vTYZ87A,GHAATI Trailer (Telugu) | Anushka Shetty | Vikram Prabhu | Krish Jagarlamudi | UV Creations,UV Creations,@raj143juniorjeeva3,Wow wow awesome goosboms వచ్చాయి అసలు. కిర్రాక్ వుంది 👌👌👌👌👌అనుష్క మేడం మీ సినిమా బ్లాక్ బస్టర్ కాయం,happiness
cHd-vTYZ87A,GHAATI Trailer (Telugu) | Anushka Shetty | Vikram Prabhu | Krish Jagarlamudi | UV Creations,UV Creations,@PavanKalyanFanssekhar,క్రిష్ గారు మీరు హరిహర వీరమల్లునీ ఎందుకు మద్యలో వది లే సారు,neutral
cHd-vTYZ87A,GHAATI Trailer (Telugu) | Anushka Shetty | Vikram Prabhu | Krish Jagarlamudi | UV Creations,UV Creations,@PavanKalyanFanssekhar,క్రిష్ గారు మీరు హరిహర వీరమల్లునీ ఎందుకు మద్యలో వది లే సారు,neutral
cHd-vTYZ87A,GHAATI Trailer (Telugu) | Anushka Shetty | Vikram Prabhu | Krish Jagarlamudi | UV Creations,UV Creations,@PavanKalyanFanssekhar,ట్రైలర్ సూపర్ క్రిస్ గారు,happiness
cHd-vTYZ87A,GHAATI Trailer (Telugu) | Anushka Shetty | Vikram Prabhu | Krish Jagarlamudi | UV Creations,UV Creations,@poornamangalagiri2623,అనుష్క గారి ఫేస్ ఇంతకు ముందులా లేదూ... ఏదో కొంత తేడాగా ఉంది,sadness
cHd-vTYZ87A,GHAATI Trailer (Telugu) | Anushka Shetty | Vikram Prabhu | Krish Jagarlamudi | UV Creations,UV Creations,@poornamangalagiri2623,చైతన్య రావు.... పేరు బాగా వినపడుద్దీ,neutral
cHd-vTYZ87A,GHAATI Trailer (Telugu) | Anushka Shetty | Vikram Prabhu | Krish Jagarlamudi | UV Creations,UV Creations,@poornamangalagiri2623,"చైతన్య రావు... రావు గోపాలరావు...అంతటి యాక్టర్ అవ్వాలని కోరుకుంటున్నాను,",neutral
cHd-vTYZ87A,GHAATI Trailer (Telugu) | Anushka Shetty | Vikram Prabhu | Krish Jagarlamudi | UV Creations,UV Creations,@sudheerjoseph1712,"""సూపర్ నుంచి ఘాటి వరకూ🔥🔥 అనుష్క, the Queen ఎప్పటికీ మనసుల్లో ఉంటుంది ❤️👑 అరుంధతి💥 రుద్రమదేవి⚔️ భాగమతి👻 దేవసేన 💪 ఒక్కటే కాదు, ప్రతి రోల్ కరెక్ట్‌గా ఒదిగిపోయింది 🎯 👑✨ ""అనుష్క గారు, అరుంధతి లో చీకటిని, భాగమతి లో గోస్ట్ ని, రుద్రమదేవి లో ఖడ్గం ని, సైజ్ జీరో లో డైట్ ని, బాహుబలి లో యువరాణి ని మనసులో వేసుకున్నారు 😆 ఇంకా ‘ఘాటి’లో ఏమి చేస్తారో ఎదురుచూస్తున్నాం 😂🔥""",happiness
cHd-vTYZ87A,GHAATI Trailer (Telugu) | Anushka Shetty | Vikram Prabhu | Krish Jagarlamudi | UV Creations,UV Creations,@AnilkumarrapakaRapaka,అట్టా ఉంటది అట్టా ఉంటదే అనుష్కతో,neutral
cHd-vTYZ87A,GHAATI Trailer (Telugu) | Anushka Shetty | Vikram Prabhu | Krish Jagarlamudi | UV Creations,UV Creations,@ganeshpothu3350,దామం జోడి పక్కన బీజాగాటి,neutral
cHd-vTYZ87A,GHAATI Trailer (Telugu) | Anushka Shetty | Vikram Prabhu | Krish Jagarlamudi | UV Creations,UV Creations,@mskalfa4596,అనుష్క కోసం సినిమా బాలేకపోయిన చూడొచ్చు 😍,happiness
cHd-vTYZ87A,GHAATI Trailer (Telugu) | Anushka Shetty | Vikram Prabhu | Krish Jagarlamudi | UV Creations,UV Creations,@sivakf9917,జేజమ్మ ki like kottandi royi 🔥🔥🔥,neutral
cHd-vTYZ87A,GHAATI Trailer (Telugu) | Anushka Shetty | Vikram Prabhu | Krish Jagarlamudi | UV Creations,UV Creations,@bochurakesh-q5j,పుష్ప పుష్ప,neutral
cHd-vTYZ87A,GHAATI Trailer (Telugu) | Anushka Shetty | Vikram Prabhu | Krish Jagarlamudi | UV Creations,UV Creations,@syedkhajajilanipk8253,Vintage అరుంధతి Anushka Is Back🔥💥 Ghati❤️‍🔥,neutral
cHd-vTYZ87A,GHAATI Trailer (Telugu) | Anushka Shetty | Vikram Prabhu | Krish Jagarlamudi | UV Creations,UV Creations,@vamshikrishna5078,బ్లాక్ buster madam,neutral
1DgBqtU2NKU,"Mass Jathara - TEASER | Ravi Teja, Sreeleela | Bheems | S Naga Vamsi | Bhanu Bogavarapu",Sithara Entertainments,@AMani-py5db,ట్రైలర్ సూపర్,happiness
1DgBqtU2NKU,"Mass Jathara - TEASER | Ravi Teja, Sreeleela | Bheems | S Naga Vamsi | Bhanu Bogavarapu",Sithara Entertainments,@Krish11223,ఏ సినిమాలో చూసిన అదే ఎనర్జీ మా యూత్ కు మీరు ఇన్స్పిరేషన్ 👌,happiness
1DgBqtU2NKU,"Mass Jathara - TEASER | Ravi Teja, Sreeleela | Bheems | S Naga Vamsi | Bhanu Bogavarapu",Sithara Entertainments,@Krish11223,"రవితేజ అన్న మీ మూవీ ఫ్లాప్ అయినా హిట్టు మీ సినిమాలు మాత్రం కెవ్వు కేక, 👌👌👌👌🙏",happiness
1DgBqtU2NKU,"Mass Jathara - TEASER | Ravi Teja, Sreeleela | Bheems | S Naga Vamsi | Bhanu Bogavarapu",Sithara Entertainments,@ThummalaRajasimha,మళ్ళీ రోత స్టోరే ఇంకా మారవా అన్న 🤣🤣🤣🤣🤣 ని కూతురు వయసు ఉండే హీరోయిన్ 😢😢😢,sadness
1DgBqtU2NKU,"Mass Jathara - TEASER | Ravi Teja, Sreeleela | Bheems | S Naga Vamsi | Bhanu Bogavarapu",Sithara Entertainments,@ShannukhaPriya-p2n,అన్ని అలానే ఉంటాయి ఒకేలా మూవీస్,neutral
1DgBqtU2NKU,"Mass Jathara - TEASER | Ravi Teja, Sreeleela | Bheems | S Naga Vamsi | Bhanu Bogavarapu",Sithara Entertainments,@ultrafactstelugu,ఇది కూడా పాయే😂,neutral
1DgBqtU2NKU,"Mass Jathara - TEASER | Ravi Teja, Sreeleela | Bheems | S Naga Vamsi | Bhanu Bogavarapu",Sithara Entertainments,@mahammadhbasha907,ఇది ఎప్పుడో కొడతాను శీను😮😮😮,surprise
1DgBqtU2NKU,"Mass Jathara - TEASER | Ravi Teja, Sreeleela | Bheems | S Naga Vamsi | Bhanu Bogavarapu",Sithara Entertainments,@rajukk2618,రోటిన్ రొట్ట,neutral
